分拣中心,日期,小时,货量
SC54,2023/12/01,0,238
SC54,2023/12/01,1,196
SC54,2023/12/01,2,193
SC54,2023/12/01,3,185
SC54,2023/12/01,4,184
SC54,2023/12/01,5,174
SC54,2023/12/01,6,173
SC54,2023/12/01,7,212
SC54,2023/12/01,8,250
SC54,2023/12/01,9,531
SC54,2023/12/01,10,609
SC54,2023/12/01,11,620
SC54,2023/12/01,12,271
SC54,2023/12/01,13,529
SC54,2023/12/01,14,235
SC54,2023/12/01,15,450
SC54,2023/12/01,16,939
SC54,2023/12/01,17,315
SC54,2023/12/01,18,688
SC54,2023/12/01,19,673
SC54,2023/12/01,20,664
SC54,2023/12/01,21,709
SC54,2023/12/01,22,745
SC54,2023/12/01,23,752
SC54,2023/12/02,0,263
SC54,2023/12/02,1,227
SC54,2023/12/02,2,224
SC54,2023/12/02,3,216
SC54,2023/12/02,4,214
SC54,2023/12/02,5,205
SC54,2023/12/02,6,203
SC54,2023/12/02,7,242
SC54,2023/12/02,8,279
SC54,2023/12/02,9,555
SC54,2023/12/02,10,632
SC54,2023/12/02,11,642
SC54,2023/12/02,12,299
SC54,2023/12/02,13,552
SC54,2023/12/02,14,264
SC54,2023/12/02,15,475
SC54,2023/12/02,16,955
SC54,2023/12/02,17,342
SC54,2023/12/02,18,708
SC54,2023/12/02,19,694
SC54,2023/12/02,20,684
SC54,2023/12/02,21,729
SC54,2023/12/02,22,764
SC54,2023/12/02,23,771
SC54,2023/12/03,0,290
SC54,2023/12/03,1,255
SC54,2023/12/03,2,253
SC54,2023/12/03,3,244
SC54,2023/12/03,4,243
SC54,2023/12/03,5,234
SC54,2023/12/03,6,232
SC54,2023/12/03,7,270
SC54,2023/12/03,8,306
SC54,2023/12/03,9,577
SC54,2023/12/03,10,652
SC54,2023/12/03,11,662
SC54,2023/12/03,12,326
SC54,2023/12/03,13,574
SC54,2023/12/03,14,291
SC54,2023/12/03,15,497
SC54,2023/12/03,16,969
SC54,2023/12/03,17,368
SC54,2023/12/03,18,727
SC54,2023/12/03,19,712
SC54,2023/12/03,20,703
SC54,2023/12/03,21,747
SC54,2023/12/03,22,781
SC54,2023/12/03,23,788
SC54,2023/12/04,0,316
SC54,2023/12/04,1,281
SC54,2023/12/04,2,279
SC54,2023/12/04,3,271
SC54,2023/12/04,4,269
SC54,2023/12/04,5,260
SC54,2023/12/04,6,258
SC54,2023/12/04,7,296
SC54,2023/12/04,8,331
SC54,2023/12/04,9,596
SC54,2023/12/04,10,670
SC54,2023/12/04,11,680
SC54,2023/12/04,12,350
SC54,2023/12/04,13,593
SC54,2023/12/04,14,315
SC54,2023/12/04,15,518
SC54,2023/12/04,16,981
SC54,2023/12/04,17,390
SC54,2023/12/04,18,743
SC54,2023/12/04,19,729
SC54,2023/12/04,20,720
SC54,2023/12/04,21,763
SC54,2023/12/04,22,796
SC54,2023/12/04,23,803
SC54,2023/12/05,0,339
SC54,2023/12/05,1,305
SC54,2023/12/05,2,303
SC54,2023/12/05,3,295
SC54,2023/12/05,4,293
SC54,2023/12/05,5,284
SC54,2023/12/05,6,282
SC54,2023/12/05,7,319
SC54,2023/12/05,8,354
SC54,2023/12/05,9,614
SC54,2023/12/05,10,686
SC54,2023/12/05,11,696
SC54,2023/12/05,12,371
SC54,2023/12/05,13,610
SC54,2023/12/05,14,338
SC54,2023/12/05,15,537
SC54,2023/12/05,16,991
SC54,2023/12/05,17,411
SC54,2023/12/05,18,757
SC54,2023/12/05,19,743
SC54,2023/12/05,20,734
SC54,2023/12/05,21,776
SC54,2023/12/05,22,809
SC54,2023/12/05,23,815
SC54,2023/12/06,0,360
SC54,2023/12/06,1,327
SC54,2023/12/06,2,324
SC54,2023/12/06,3,316
SC54,2023/12/06,4,315
SC54,2023/12/06,5,306
SC54,2023/12/06,6,304
SC54,2023/12/06,7,340
SC54,2023/12/06,8,374
SC54,2023/12/06,9,629
SC54,2023/12/06,10,700
SC54,2023/12/06,11,709
SC54,2023/12/06,12,391
SC54,2023/12/06,13,626
SC54,2023/12/06,14,358
SC54,2023/12/06,15,553
SC54,2023/12/06,16,999
SC54,2023/12/06,17,430
SC54,2023/12/06,18,769
SC54,2023/12/06,19,755
SC54,2023/12/06,20,746
SC54,2023/12/06,21,787
SC54,2023/12/06,22,819
SC54,2023/12/06,23,826
SC54,2023/12/07,0,379
SC54,2023/12/07,1,346
SC54,2023/12/07,2,344
SC54,2023/12/07,3,336
SC54,2023/12/07,4,334
SC54,2023/12/07,5,325
SC54,2023/12/07,6,323
SC54,2023/12/07,7,359
SC54,2023/12/07,8,392
SC54,2023/12/07,9,642
SC54,2023/12/07,10,712
SC54,2023/12/07,11,721
SC54,2023/12/07,12,409
SC54,2023/12/07,13,639
SC54,2023/12/07,14,376
SC54,2023/12/07,15,567
SC54,2023/12/07,16,1005
SC54,2023/12/07,17,446
SC54,2023/12/07,18,779
SC54,2023/12/07,19,765
SC54,2023/12/07,20,756
SC54,2023/12/07,21,797
SC54,2023/12/07,22,828
SC54,2023/12/07,23,834
SC54,2023/12/08,0,396
SC54,2023/12/08,1,364
SC54,2023/12/08,2,361
SC54,2023/12/08,3,353
SC54,2023/12/08,4,351
SC54,2023/12/08,5,343
SC54,2023/12/08,6,341
SC54,2023/12/08,7,375
SC54,2023/12/08,8,408
SC54,2023/12/08,9,653
SC54,2023/12/08,10,722
SC54,2023/12/08,11,731
SC54,2023/12/08,12,424
SC54,2023/12/08,13,650
