分拣中心,日期,班次,正式工人数,临时工人数
SC54,2023/12/10,00:00-08:00,60.0,84.0
SC54,2023/12/10,05:00-13:00,60.0,137.0
SC54,2023/12/10,08:00-16:00,60.0,164.0
SC54,2023/12/10,12:00-20:00,60.0,188.0
SC54,2023/12/10,14:00-22:00,60.0,212.0
SC54,2023/12/10,16:00-24:00,60.0,246.0
SC54,2023/12/11,00:00-08:00,60.0,88.0
SC54,2023/12/11,05:00-13:00,60.0,140.0
SC54,2023/12/11,08:00-16:00,60.0,167.0
SC54,2023/12/11,12:00-20:00,60.0,191.0
SC54,2023/12/11,14:00-22:00,60.0,214.0
SC54,2023/12/11,16:00-24:00,60.0,247.0
SC54,2023/12/12,00:00-08:00,60.0,92.0
SC54,2023/12/12,05:00-13:00,60.0,143.0
SC54,2023/12/12,08:00-16:00,60.0,168.0
SC54,2023/12/12,12:00-20:00,60.0,192.0
SC54,2023/12/12,14:00-22:00,60.0,215.0
SC54,2023/12/12,16:00-24:00,60.0,247.0
SC54,2023/12/13,00:00-08:00,60.0,95.0
SC54,2023/12/13,05:00-13:00,60.0,144.0
SC54,2023/12/13,08:00-16:00,60.0,170.0
SC54,2023/12/13,12:00-20:00,60.0,193.0
SC54,2023/12/13,14:00-22:00,60.0,215.0
SC54,2023/12/13,16:00-24:00,60.0,247.0
SC54,2023/12/14,00:00-08:00,60.0,97.0
SC54,2023/12/14,05:00-13:00,60.0,145.0
SC54,2023/12/14,08:00-16:00,60.0,170.0
SC54,2023/12/14,12:00-20:00,60.0,192.0
SC54,2023/12/14,14:00-22:00,60.0,214.0
SC54,2023/12/14,16:00-24:00,60.0,245.0
SC54,2023/12/15,00:00-08:00,60.0,98.0
SC54,2023/12/15,05:00-13:00,60.0,146.0
SC54,2023/12/15,08:00-16:00,60.0,170.0
SC54,2023/12/15,12:00-20:00,60.0,192.0
SC54,2023/12/15,14:00-22:00,60.0,213.0
SC54,2023/12/15,16:00-24:00,60.0,243.0
SC54,2023/12/16,00:00-08:00,60.0,98.0
SC54,2023/12/16,05:00-13:00,60.0,145.0
SC54,2023/12/16,08:00-16:00,60.0,169.0
SC54,2023/12/16,12:00-20:00,60.0,190.0
SC54,2023/12/16,14:00-22:00,60.0,211.0
SC54,2023/12/16,16:00-24:00,60.0,241.0
SC54,2023/12/17,00:00-08:00,60.0,98.0
SC54,2023/12/17,05:00-13:00,60.0,144.0
SC54,2023/12/17,08:00-16:00,60.0,167.0
SC54,2023/12/17,12:00-20:00,60.0,188.0
SC54,2023/12/17,14:00-22:00,60.0,208.0
SC54,2023/12/17,16:00-24:00,60.0,238.0
SC54,2023/12/18,00:00-08:00,60.0,97.0
SC54,2023/12/18,05:00-13:00,60.0,142.0
SC54,2023/12/18,08:00-16:00,60.0,165.0
SC54,2023/12/18,12:00-20:00,60.0,185.0
SC54,2023/12/18,14:00-22:00,60.0,205.0
SC54,2023/12/18,16:00-24:00,60.0,234.0
SC54,2023/12/19,00:00-08:00,60.0,96.0
SC54,2023/12/19,05:00-13:00,60.0,140.0
SC54,2023/12/19,08:00-16:00,60.0,162.0
SC54,2023/12/19,12:00-20:00,60.0,181.0
SC54,2023/12/19,14:00-22:00,60.0,201.0
SC54,2023/12/19,16:00-24:00,60.0,229.0
SC54,2023/12/20,00:00-08:00,60.0,94.0
SC54,2023/12/20,05:00-13:00,60.0,136.0
SC54,2023/12/20,08:00-16:00,60.0,158.0
SC54,2023/12/20,12:00-20:00,60.0,177.0
SC54,2023/12/20,14:00-22:00,60.0,196.0
SC54,2023/12/20,16:00-24:00,60.0,224.0
SC54,2023/12/21,00:00-08:00,60.0,91.0
SC54,2023/12/21,05:00-13:00,60.0,133.0
SC54,2023/12/21,08:00-16:00,60.0,154.0
SC54,2023/12/21,12:00-20:00,60.0,172.0
SC54,2023/12/21,14:00-22:00,60.0,191.0
SC54,2023/12/21,16:00-24:00,60.0,218.0
SC54,2023/12/22,00:00-08:00,60.0,87.0
SC54,2023/12/22,05:00-13:00,60.0,128.0
SC54,2023/12/22,08:00-16:00,60.0,149.0
SC54,2023/12/22,12:00-20:00,60.0,167.0
SC54,2023/12/22,14:00-22:00,60.0,185.0
SC54,2023/12/22,16:00-24:00,60.0,212.0
SC54,2023/12/23,00:00-08:00,60.0,83.0
SC54,2023/12/23,05:00-13:00,60.0,123.0
SC54,2023/12/23,08:00-16:00,60.0,143.0
SC54,2023/12/23,12:00-20:00,60.0,161.0
SC54,2023/12/23,14:00-22:00,60.0,179.0
SC54,2023/12/23,16:00-24:00,60.0,205.0
SC54,2023/12/24,00:00-08:00,60.0,78.0
SC54,2023/12/24,05:00-13:00,60.0,117.0
SC54,2023/12/24,08:00-16:00,60.0,137.0
SC54,2023/12/24,12:00-20:00,60.0,154.0
SC54,2023/12/24,14:00-22:00,60.0,172.0
SC54,2023/12/24,16:00-24:00,60.0,197.0
SC54,2023/12/25,00:00-08:00,60.0,72.0
SC54,2023/12/25,05:00-13:00,60.0,111.0
SC54,2023/12/25,08:00-16:00,60.0,130.0
SC54,2023/12/25,12:00-20:00,60.0,147.0
SC54,2023/12/25,14:00-22:00,60.0,164.0
SC54,2023/12/25,16:00-24:00,60.0,189.0
SC54,2023/12/26,00:00-08:00,60.0,66.0
SC54,2023/12/26,05:00-13:00,60.0,104.0
SC54,2023/12/26,08:00-16:00,60.0,122.0
SC54,2023/12/26,12:00-20:00,60.0,139.0
SC54,2023/12/26,14:00-22:00,60.0,156.0
SC54,2023/12/26,16:00-24:00,60.0,180.0
SC54,2023/12/27,00:00-08:00,60.0,60.0
SC54,2023/12/27,05:00-13:00,60.0,96.0
SC54,2023/12/27,08:00-16:00,60.0,115.0
SC54,2023/12/27,12:00-20:00,60.0,131.0
SC54,2023/12/27,14:00-22:00,60.0,147.0
SC54,2023/12/27,16:00-24:00,60.0,171.0
