分拣中心,日期,班次,正式工人数,临时工人数
SC54,2023/12/1,00:00-08:00,0.0,11.0
SC54,2023/12/1,05:00-13:00,0.0,19.0
SC54,2023/12/1,08:00-16:00,1.0,21.0
SC54,2023/12/1,12:00-20:00,0.0,26.0
SC54,2023/12/1,14:00-22:00,0.0,30.0
SC54,2023/12/1,16:00-24:00,0.0,35.0
SC54,2023/12/2,00:00-08:00,0.0,12.0
SC54,2023/12/2,05:00-13:00,0.0,20.0
SC54,2023/12/2,08:00-16:00,0.0,24.0
SC54,2023/12/2,12:00-20:00,1.0,26.0
SC54,2023/12/2,14:00-22:00,0.0,31.0
SC54,2023/12/2,16:00-24:00,0.0,36.0
SC54,2023/12/3,00:00-08:00,0.0,13.0
SC54,2023/12/3,05:00-13:00,0.0,21.0
SC54,2023/12/3,08:00-16:00,0.0,25.0
SC54,2023/12/3,12:00-20:00,1.0,27.0
SC54,2023/12/3,14:00-22:00,0.0,32.0
SC54,2023/12/3,16:00-24:00,0.0,37.0
SC54,2023/12/4,00:00-08:00,0.0,15.0
SC54,2023/12/4,05:00-13:00,0.0,22.0
SC54,2023/12/4,08:00-16:00,0.0,26.0
SC54,2023/12/4,12:00-20:00,1.0,28.0
SC54,2023/12/4,14:00-22:00,0.0,33.0
SC54,2023/12/4,16:00-24:00,0.0,38.0
SC54,2023/12/5,00:00-08:00,0.0,16.0
SC54,2023/12/5,05:00-13:00,0.0,23.0
SC54,2023/12/5,08:00-16:00,0.0,27.0
SC54,2023/12/5,12:00-20:00,1.0,29.0
SC54,2023/12/5,14:00-22:00,0.0,34.0
SC54,2023/12/5,16:00-24:00,0.0,39.0
SC54,2023/12/6,00:00-08:00,0.0,17.0
SC54,2023/12/6,05:00-13:00,0.0,24.0
SC54,2023/12/6,08:00-16:00,0.0,28.0
SC54,2023/12/6,12:00-20:00,0.0,31.0
SC54,2023/12/6,14:00-22:00,1.0,33.0
SC54,2023/12/6,16:00-24:00,0.0,39.0
SC54,2023/12/7,00:00-08:00,0.0,18.0
SC54,2023/12/7,05:00-13:00,0.0,25.0
SC54,2023/12/7,08:00-16:00,1.0,27.0
SC54,2023/12/7,12:00-20:00,0.0,32.0
SC54,2023/12/7,14:00-22:00,0.0,35.0
SC54,2023/12/7,16:00-24:00,0.0,40.0
SC54,2023/12/8,00:00-08:00,0.0,19.0
SC54,2023/12/8,05:00-13:00,0.0,26.0
SC54,2023/12/8,08:00-16:00,0.0,29.0
SC54,2023/12/8,12:00-20:00,0.0,33.0
SC54,2023/12/8,14:00-22:00,1.0,34.0
SC54,2023/12/8,16:00-24:00,0.0,40.0
SC54,2023/12/9,00:00-08:00,1.0,18.0
SC54,2023/12/9,05:00-13:00,0.0,26.0
SC54,2023/12/9,08:00-16:00,0.0,30.0
SC54,2023/12/9,12:00-20:00,0.0,33.0
SC54,2023/12/9,14:00-22:00,0.0,36.0
SC54,2023/12/9,16:00-24:00,0.0,40.0
SC54,2023/12/10,00:00-08:00,0.0,20.0
SC54,2023/12/10,05:00-13:00,0.0,27.0
SC54,2023/12/10,08:00-16:00,0.0,30.0
SC54,2023/12/10,12:00-20:00,0.0,33.0
SC54,2023/12/10,14:00-22:00,0.0,36.0
SC54,2023/12/10,16:00-24:00,1.0,39.0
SC54,2023/12/11,00:00-08:00,0.0,21.0
SC54,2023/12/11,05:00-13:00,0.0,27.0
SC54,2023/12/11,08:00-16:00,0.0,31.0
SC54,2023/12/11,12:00-20:00,0.0,34.0
SC54,2023/12/11,14:00-22:00,0.0,37.0
SC54,2023/12/11,16:00-24:00,1.0,39.0
SC54,2023/12/12,00:00-08:00,0.0,21.0
SC54,2023/12/12,05:00-13:00,0.0,28.0
SC54,2023/12/12,08:00-16:00,0.0,31.0
SC54,2023/12/12,12:00-20:00,0.0,34.0
SC54,2023/12/12,14:00-22:00,0.0,37.0
SC54,2023/12/12,16:00-24:00,1.0,39.0
SC54,2023/12/13,00:00-08:00,0.0,22.0
SC54,2023/12/13,05:00-13:00,0.0,28.0
SC54,2023/12/13,08:00-16:00,0.0,31.0
SC54,2023/12/13,12:00-20:00,0.0,34.0
SC54,2023/12/13,14:00-22:00,1.0,35.0
SC54,2023/12/13,16:00-24:00,0.0,41.0
SC54,2023/12/14,00:00-08:00,0.0,22.0
SC54,2023/12/14,05:00-13:00,0.0,28.0
SC54,2023/12/14,08:00-16:00,0.0,31.0
SC54,2023/12/14,12:00-20:00,0.0,34.0
SC54,2023/12/14,14:00-22:00,1.0,35.0
